lat,long,mag
39.7448333,-124.0476667,2.02
59.7416,-152.2113,1.8
19.40183258,-155.2873383,1.92999995
44.7633333,-110.9716667,0.29
65.1819,-148.5033,0.8
37.4881,-116.9452,0.8
37.4046,-115.0935,1.1
35.7287,-98.013,2.2
35.9681667,-120.5135,0.2
33.5346667,-116.6805,0.76
34.0561667,-117.2313333,1.09
61.3872,-146.6299,1.2
37.7416667,-122.5476667,1.17
18.15483333,-66.85866667,2.53
-9.2098,124.3313,4.4
38.815834,-122.8278351,0.63
70.3252,-15.6681,5.3
38.7926674,-122.7613297,0.26
19.32783333,-155.1378333,2.95
38.8196678,-122.8246689,0.49
19.24033356,-155.3739929,2.24000001
70.424,-15.3175,4.2
70.3716,-15.4861,4.3
51.1801,-178.1744,3.4
19.24016762,-155.4024963,2.00999999
38.8118324,-122.8273315,1.33
37.4613333,-121.786,1.27
63.8305,-150.4252,0.9
61.5903,-150.0176,1.2
33.4755,-116.4608333,0.87
60.1777,-152.6914,1.5
62.7508,-148.8662,1.4
-20.8365,-70.2765,4
62.4115,-148.5457,1.7
19.18916702,-155.394165,2.24
33.534,-116.6813333,0.58
19.551,-65.7578,3.93
36.454,-98.79833333,1.1
63.967,-149.0075,1.7
18.77666667,-68.016,3.39
62.6804,-143.4798,1.6
38.8064995,-122.8088303,0.78
49.129,-122.0195,1.63
19.4945,-65.7248,3.6
58.1637,-155.328,2
19.6285,-65.78166667,3.41
55.8266,-159.0309,1.9
35.0223333,-117.6943333,1.76
43.1775,-111.4101667,2.09
59.5732,-152.1337,1.5
36.3674,-114.8796,1.3
35.539,-96.7505,2.33
63.2019,-150.7818,1.6
33.6998333,-116.8106667,0.97
33.281,-115.6826667,1.37
-21.0721,-178.8808,4.5
38.8183327,-122.82267,0.93
36.70133333,-97.66933333,2.3
36.69716667,-97.67683333,1.41
38.7631667,-122.7136667,0.52
36.699,-97.67083333,2.31
36.699,-97.677,1.87
19.78416667,-155.0906667,2.48
55.5197,-161.713,3.2
33.3911667,-116.3676667,1.08
64.9823,-148.79,1.1
35.6321667,-117.4535,1.4
19.39916667,-155.2675,1.33
43.16583333,-111.4126667,0.87
36.6985,-97.672,1.54
19.24066734,-155.3871613,1.92999995
38.3975,72.862,4.1
34.5045,-118.8085,1.96
34.0286667,-117.2295,1.32
35.536,-96.74966667,2.98
46.88383333,-121.769,0.58
38.824501,-122.8548355,0.45
33.3868333,-116.3685,1.58
38.8191681,-122.822998,1.28
33.1943333,-115.619,0.98
36.9216652,-121.4208298,1.19
35.251,-98.051,2.25
33.9961667,-118.6713333,2.17
19.40766667,-155.2418333,2.61
19.15016747,-155.4503326,2.11999989
37.6963333,-121.9346667,1.31
34.74433333,-97.5225,1.95
63.2428,-151.3634,1.8
19.16283417,-155.4080048,2.56999993
31.67795264,-104.5009881,2.1
19.11066628,-155.4823303,2.28999996
33.0396667,-114.9506667,1.12
40.743,-122.305,1.52
19.23200035,-155.3966675,2.14
19.2425,-155.396,2.76
19.14533424,-155.472168,1.70000005
40.174,-121.1108,1.4
32.5996667,-116.9756667,1.35
19.34116667,-155.1421667,2.65
-20.0678,-69.1629,4.3
59.8146,-152.6235,1.6
38.7939987,-122.7580032,0.96
15.0872,39.4015,4.7
46.00416667,-112.4661667,2.11
38.833,-119.6079,0.8
17.94016667,-66.95083333,2.26
31.44357387,-103.892632,2
45.29566667,-112.0491667,0.89
33.2091667,-116.0468333,0.69
60.404,-146.7916,2.1
19.23016739,-155.3928375,2.33
19.40116667,-155.2428333,1.81
35.734,-98.01966667,2.29
38.8306667,-122.8045,0.4
40.2321667,-121.1428333,2.6
38.8378333,-122.7996667,0.38
33.6676667,-116.7475,1.11
37.1496667,-121.5263333,0.75
49.30416667,-120.4883333,1.94
65.3731,-148.4103,0.7
35.4708333,-118.3378333,0.91
61.6583,-150.017,1.4
38.8173332,-122.7626648,0.89
59.9467,-152.7985,1.6
40.2381667,-121.1683333,1.84
19.31916667,-155.1985,1.95
-19.1289,-177.3477,4.5
35.71933333,-98.02566667,1.25
38.7929993,-122.7580032,0.76
2.0148,126.8629,4.6
61.6611,-146.361,1.3
35.74066667,-98.007,1.39
44.675,-114.345,2.45
19.14916611,-155.5415039,2.27
-0.1117,124.9663,4.8
19.24650002,-155.409668,2.1099999
37.5211667,-113.9255,1.7
35.71716667,-98.03766667,1.21
38.81,-122.746,0.33
35.73666667,-98.02833333,1.28
19.23333359,-155.3945007,2.11999989
34.7635,-119.9598333,1
61.5736,-146.4283,1.3
62.3231,-148.1512,1.2
36.2318344,-120.8328323,1.19
33.5971667,-116.8061667,0.38
35.73166667,-98.01316667,1.62
-11.479,117.3511,4.4
40.0911667,-123.7573333,1.74
38.7865,-122.779,-0.02
37.2807,-115.709,0.7
44.7163333,-111.1203333,0.87
44.7161667,-111.108,1.4
35.72666667,-98.01416667,1.3
37.392,-113.6303333,1.45
51.0404,179.6963,2.8
35.72466667,-98.00116667,1.41
19.15999985,-155.5386658,2.48
62.9261,-149.3238,2.3
38.8318329,-122.8106689,0.7
58.1714,-155.3446,2.3
19.38433266,-155.2803345,1.72000003
33.5903333,-116.816,0.92
35.1478333,-119.0826667,1.2
38.7873344,-122.7675018,1.77
63.797,-148.6348,0.9
33.6533333,-116.7183333,1.04
33.666,-116.7493333,0.27
39.4222,-119.6917,0.8
35.5191667,-120.8101667,1.12
19.38299942,-155.2771606,1.79
40.5270004,-124.7460022,2.63
38.8048325,-122.7811661,0.5
19.38516667,-155.2776667,2.39
19.38266667,-155.2821667,0.17
40.6066667,-124.1018333,1.62
38.847332,-122.8160019,0.51
38.8205,-122.8228333,0.39
64.7076,-147.63,1.1
36.8791,-116.2187,-0.3
38.8201675,-122.8061676,0.85
38.8400002,-122.8121643,0.73
62.1954,-151.3597,3.5
41.9865,-119.5947,0.5
60.0411,-153.0761,1.9
35.7365,-98.01216667,1.1
19.23749924,-155.4033356,1.82000005
65.1332,-148.0216,1
37.8376656,-122.0491638,1.04
35.5043333,-118.3913333,0.87
19.15183258,-155.3638306,2.06999993
34.72983333,-97.5445,1.31
60.0147,-153.1972,1.4
35.75916667,-98.02716667,1.38
19.16533279,-155.3636627,1.82000005
47.8465,-122.4958333,1.15
39.35,-123.3031667,1.13
19.25666618,-155.3630066,1.70000005
61.7826,-148.2845,1.6
35.72816667,-98.01533333,1.36
35.6821667,-117.546,0.86
39.352,-119.9122,-0.4
33.7138333,-116.8333333,0.64
38.8351669,-122.7901688,0.88
35.73516667,-98.0005,1.35
37.5508,72.2305,4.1
33.468,-116.5666667,1.5
35.72983333,-97.9945,1.28
40.2366667,-121.161,2.53
36.326,-116.3253,1.2
63.2238,-150.9958,1.7
33.4716667,-116.5628333,1.26
39.3528328,-123.2985001,1.45
35.73633333,-97.99366667,1.18
38.8136673,-122.8228302,0.81
33.5686667,-116.657,0.72
39.5669,-120.0397,0.6
60.7612,-150.779,1.5
38.7798347,-122.8931656,1.13
-22.7719,-66.624,5.3
33.473,-116.5598333,1.18
19.15600014,-155.4656677,1.86000001
35.73,-98.0085,1.58
38.8243332,-122.8036652,1.06
35.24,-97.26683333,2.71
38.7719994,-122.7378311,1.39
38.7693329,-122.7351685,1.46
38.7669983,-122.7405014,1.12
-22.7988,-66.1512,4.1
61.4786,-150.7016,1.3
36.6657,-116.2863,-0.4
38.7821655,-122.7583313,1.1
35.7,-117.5053333,0.91
35.73383333,-98.00083333,1.31
38.7803345,-122.7453308,1.11
58.17,-155.4085,1.9
38.8188324,-122.8246689,0.37
19.24633408,-155.4198303,1.86
38.815834,-122.8433304,0.78
38.7820015,-122.7421646,0.49
38.8199997,-122.7643356,1.34
46.516,-111.9135,0.31
33.8461667,-116.84,0.82
-36.8129,-73.7966,4.3
19.24933243,-155.4166718,1.90999997
33.4406667,-116.6383333,0.5
62.4849,-151.6579,1.4
61.1713,-141.1657,1.2
61.1745,-141.3625,0.9
61.0013,-151.1541,1.1
40.2455,-121.1965,2
35.9238333,-120.4736667,0.3
61.5181,-150.017,1.5
38.8274994,-122.8021698,1.27
34.69766667,-98.5565,2.09
19.08016667,-66.83366667,3.3
31.60960064,-104.5454874,2.5
40.1978333,-121.1111667,1.81
38.8095016,-122.8164978,0.76
36.399,-115.4517,1
35.7656667,-117.5776667,0.94
61.1715,-141.166,1.4
33.651,-116.7221667,0.49
36.023,-117.7713333,1.14
59.86,-150.9511,2.7
19.14749908,-155.4980011,2.36999989
36.361,-96.98883333,1.05
65.4531,-144.7768,1.4
35.74,-98.00066667,1.3
19.14916611,-155.4674988,1.85000002
27.0291,126.8405,4.4
40.2281667,-121.1668333,2.56
61.7773,-149.6751,1.8
19.11933327,-155.4693298,1.79999995
35.729,-98.0055,1.31
33.4713333,-116.5623333,0.93
18.57783333,-67.17983333,3.07
12.903,-60.1528,4.2
33.4736667,-116.5565,0.42
37.0173,-104.959,3.1
35.6745,-117.5135,1.16
61.3877,-150.215,1.3
34.0093333,-116.8188333,1.05
38.7941666,-122.7710037,0.26
40.2115,-121.1403333,2.12
40.0922,-119.729,0.9
17.89316667,-66.8515,2.31
38.7705,-122.7256667,0.42
-31.9392,-69.2402,4.4
38.7896667,-122.7675,0.13
36.4686667,-121.0398333,1.24
34.5046667,-118.8098333,1.19
53.5784,-167.1264,1.7
40.1803,-119.812,0.2
32.4671667,-115.9566667,3.63
31.0061,-116.3222,4.3
38.8131676,-122.7971649,0.78
19.24349976,-155.4048309,2.25
17.95766667,-66.9465,2.41
38.8336678,-122.8178329,0.51
19.24083328,-155.4038391,1.72000003
35.0246667,-117.69,1.67
17.9455,-66.94716667,2.59
61.154,-151.0346,2.6
35.73366667,-98.01116667,1.19
19.16483333,-155.493,1.53
44.31266667,-115.16,1.43
33.4755,-116.5566667,0.53
34.8441,-106.8289,2.3
35.7005,-98.03016667,1.36
62.857,-150.4226,1.4
36.5563333,-121.1396667,1.66
35.726,-98.0155,1.15
38.8078346,-122.8188324,0.75
-26.0765,-179.144,4.4
36.49816667,-98.4405,1.82
44.8045,-113.0325,1.2
38.8301659,-122.8160019,1.34
35.739,-98.01516667,1.38
3.1236,128.2397,4.5
35.7315,-98.00566667,1.67
19.41183333,-155.2473333,2
19.40016747,-155.2923279,1.83
45.4227,148.4772,5
38.7799988,-122.7666702,0.58
-24.112,-67.9895,4.3
2.5254,99.129,4.3
19.15600014,-155.4640045,1.72000003
33.5925,-116.8175,0.56
32.5426667,-117.637,2.37
